file,caller,function,call_id,static,type,parameter,key,value
0x628f4c543b8c50c5,fb_register_client,blocking_notifier_chain_register,1,0,0,-1,,"int(*)(struct blocking_notifier_head*, struct notifier_block*)"
0x628f4c543b8c50c5,fb_register_client,blocking_notifier_chain_register,1,0,1001,0,$,1352856918895763456
0x628f4c543b8c50c5,fb_register_client,blocking_notifier_chain_register,1,0,1001,0,$->head,0
0x628f4c543b8c50c5,fb_register_client,blocking_notifier_chain_register,1,0,1014,1,$,$0
0x628f4c543b8c50c5,fb_unregister_client,blocking_notifier_chain_unregister,2,0,0,-1,,"int(*)(struct blocking_notifier_head*, struct notifier_block*)"
0x628f4c543b8c50c5,fb_unregister_client,blocking_notifier_chain_unregister,2,0,1001,0,$,1352856918895763456
0x628f4c543b8c50c5,fb_unregister_client,blocking_notifier_chain_unregister,2,0,1001,0,$->head,"0,4096-ptr_max"
0x628f4c543b8c50c5,fb_unregister_client,blocking_notifier_chain_unregister,2,0,1014,1,$,$0
0x628f4c543b8c50c5,fb_notifier_call_chain,blocking_notifier_call_chain,3,0,0,-1,,"int(*)(struct blocking_notifier_head*, ulong, void*)"
0x628f4c543b8c50c5,fb_notifier_call_chain,blocking_notifier_call_chain,3,0,1001,0,$,1352856918895763456
0x628f4c543b8c50c5,fb_notifier_call_chain,blocking_notifier_call_chain,3,0,1014,1,$,$0
0x628f4c543b8c50c5,fb_notifier_call_chain,blocking_notifier_call_chain,3,0,1014,2,$,$1
0x3919efef96113f91,vgacon_restore_screen,vgacon_scrolldelta,4,1,0,-1,,"int(*)(struct vc_data*, int)"
0x3919efef96113f91,vgacon_restore_screen,vgacon_scrolldelta,4,1,1029,0,$->vc_origin,!= $0->vc_visible_origin
0x3919efef96113f91,vgacon_restore_screen,vgacon_scrolldelta,4,1,1001,0,$,4096-ptr_max
0x3919efef96113f91,vgacon_restore_screen,vgacon_scrolldelta,4,1,1001,0,$->vc_mode,0
0x3919efef96113f91,vgacon_restore_screen,vgacon_scrolldelta,4,1,1001,1,$,0
0x3919efef96113f91,vgacon_restore_screen,vgacon_scrolldelta,4,1,1014,0,$,$0
0x3919efef96113f91,vgacon_scrolldelta,vga_set_mem_top,5,1,0,-1,,void(*)(struct vc_data*)
0x3919efef96113f91,vgacon_scrolldelta,vga_set_mem_top,5,1,1001,0,$,4096-ptr_max
0x3919efef96113f91,vgacon_scrolldelta,vga_set_mem_top,5,1,1001,0,$->vc_sw,0-ptr_max
0x3919efef96113f91,vgacon_scrolldelta,vga_set_mem_top,5,1,1014,0,$,$0
0x3919efef96113f91,vga_set_mem_top,write_vga,6,1,0,-1,,"void(*)(uchar, uint)"
0x3919efef96113f91,vga_set_mem_top,write_vga,6,1,1001,0,$,12
0x3919efef96113f91,write_vga,arch_local_irq_save,7,1,0,-1,,ulong(*)()
0x3919efef96113f91,write_vga,spinlock_check,8,1,0,-1,,struct raw_spinlock*(*)(struct spinlock*)
0x3919efef96113f91,write_vga,outw,9,1,0,-1,,"void(*)(ushort, int)"
0x3919efef96113f91,write_vga,outw,9,1,1001,0,$,12-65294
0x3919efef96113f91,write_vga,outw,10,1,0,-1,,"void(*)(ushort, int)"
0x3919efef96113f91,write_vga,outw,10,1,1001,0,$,13-65295
0x3919efef96113f91,write_vga,spin_unlock_irqrestore,11,1,0,-1,,"void(*)(struct spinlock*, ulong)"
0x3919efef96113f91,arch_local_irq_save,arch_local_save_flags,12,1,0,-1,,ulong(*)()
0x3919efef96113f91,arch_local_irq_save,arch_local_irq_disable,13,1,0,-1,,void(*)()
0x3919efef96113f91,arch_local_save_flags,native_save_fl,14,1,0,-1,,ulong(*)()
0x3919efef96113f91,arch_local_irq_disable,native_irq_disable,15,1,0,-1,,void(*)()
0x3919efef96113f91,spin_unlock_irqrestore,arch_irqs_disabled_flags,16,1,0,-1,,int(*)(ulong)
0x3919efef96113f91,spin_unlock_irqrestore,arch_irqs_disabled_flags,16,1,1014,0,$,$1
0x3919efef96113f91,spin_unlock_irqrestore,arch_local_irq_restore,17,1,0,-1,,void(*)(ulong)
0x3919efef96113f91,spin_unlock_irqrestore,arch_local_irq_restore,17,1,1014,0,$,$1
0x3919efef96113f91,spin_unlock_irqrestore,arch_local_irq_restore,18,1,0,-1,,void(*)(ulong)
0x3919efef96113f91,spin_unlock_irqrestore,arch_local_irq_restore,18,1,1001,0,$,512-u64max
0x3919efef96113f91,spin_unlock_irqrestore,arch_local_irq_restore,18,1,1014,0,$,$1
0x3919efef96113f91,arch_local_irq_restore,native_restore_fl,19,1,0,-1,,void(*)(ulong)
0x3919efef96113f91,arch_local_irq_restore,native_restore_fl,19,1,1014,0,$,$0
0x3919efef96113f91,vgacon_startup,(struct consw)->con_startup,20,0,0,-1,,char*(*)()
0x3919efef96113f91,vgacon_startup,request_resource,21,0,0,-1,,"int(*)(struct resource*, struct resource*)"
0x3919efef96113f91,vgacon_startup,request_resource,21,0,1016,1,$->name,3
0x3919efef96113f91,vgacon_startup,request_resource,21,0,1038,1,$->name,1
0x3919efef96113f91,vgacon_startup,request_resource,21,0,1002,1,$->name,4
0x3919efef96113f91,vgacon_startup,request_resource,21,0,1001,0,$,8636791340006543360
0x3919efef96113f91,vgacon_startup,request_resource,21,0,1001,0,$->child,0
0x3919efef96113f91,vgacon_startup,request_resource,21,0,1001,0,$->end,u16max
0x3919efef96113f91,vgacon_startup,request_resource,21,0,1001,0,$->flags,256
0x3919efef96113f91,vgacon_startup,request_resource,21,0,1001,0,$->name,7939777033384800256
0x3919efef96113f91,vgacon_startup,request_resource,21,0,1001,0,$->parent,0
0x3919efef96113f91,vgacon_startup,request_resource,21,0,1001,0,$->sibling,0
0x3919efef96113f91,vgacon_startup,request_resource,21,0,1001,0,$->start,0
0x3919efef96113f91,vgacon_startup,request_resource,21,0,1001,1,$,7015290706184404992
0x3919efef96113f91,vgacon_startup,request_resource,21,0,1001,1,$->child,0
0x3919efef96113f91,vgacon_startup,request_resource,21,0,1001,1,$->end,959
0x3919efef96113f91,vgacon_startup,request_resource,21,0,1001,1,$->flags,0
0x3919efef96113f91,vgacon_startup,request_resource,21,0,1001,1,$->name,162693768837926912
0x3919efef96113f91,vgacon_startup,request_resource,21,0,1001,1,$->parent,0
0x3919efef96113f91,vgacon_startup,request_resource,21,0,1001,1,$->sibling,0
0x3919efef96113f91,vgacon_startup,request_resource,21,0,1001,1,$->start,944
0x3919efef96113f91,vgacon_startup,request_resource,22,0,0,-1,,"int(*)(struct resource*, struct resource*)"
0x3919efef96113f91,vgacon_startup,request_resource,22,0,1016,1,$->name,3
0x3919efef96113f91,vgacon_startup,request_resource,22,0,1038,1,$->name,1
0x3919efef96113f91,vgacon_startup,request_resource,22,0,1002,1,$->name,4
0x3919efef96113f91,vgacon_startup,request_resource,22,0,1001,0,$,8636791340006543360
0x3919efef96113f91,vgacon_startup,request_resource,22,0,1001,0,$->child,0
0x3919efef96113f91,vgacon_startup,request_resource,22,0,1001,0,$->end,u16max
0x3919efef96113f91,vgacon_startup,request_resource,22,0,1001,0,$->flags,256
0x3919efef96113f91,vgacon_startup,request_resource,22,0,1001,0,$->name,7939777033384800256
0x3919efef96113f91,vgacon_startup,request_resource,22,0,1001,0,$->parent,0
0x3919efef96113f91,vgacon_startup,request_resource,22,0,1001,0,$->sibling,0
0x3919efef96113f91,vgacon_startup,request_resource,22,0,1001,0,$->start,0
0x3919efef96113f91,vgacon_startup,request_resource,22,0,1001,1,$,5970263162859737088
0x3919efef96113f91,vgacon_startup,request_resource,22,0,1001,1,$->child,0
0x3919efef96113f91,vgacon_startup,request_resource,22,0,1001,1,$->end,955
0x3919efef96113f91,vgacon_startup,request_resource,22,0,1001,1,$->flags,0
0x3919efef96113f91,vgacon_startup,request_resource,22,0,1001,1,$->name,5901581338666205184
